"","HS.Code_6","BEC4","BEC.Descriptions","Retained.Goods"
"1452","121120","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1453","121130","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1455","121140","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1461","121292","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1469","121293","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1477","121294","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1485","121299","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1493","121221","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1497","121229","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1541","121291","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1606","121300","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1608","121410","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1609","121490","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1610","130190","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1612","130120","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1615","130211","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1616","130212","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1617","130213","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1618","130214","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1619","130219","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1624","130220","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1625","130231","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1626","130232","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1627","130239","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1628","140110","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1629","140120","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1630","140190","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1651","140490","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1781","140420","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1807","150110","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1809","150120","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1811","150190","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1813","150210","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1815","150290","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1817","150300","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1818","150410","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1820","150420","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1822","150430","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1824","150500","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1828","150600","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1830","150710","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1831","150790","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1833","150810","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1834","150890","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1836","150910","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1837","150990","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1839","151000","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1841","151110","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1842","151190","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1844","151211","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1846","151219","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1849","151221","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1850","151229","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1852","151311","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1853","151319","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1855","151321","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1857","151329","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1860","151411","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1861","151419","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1863","151491","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1864","151499","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1866","151511","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1867","151519","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1869","151521","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1870","151529","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1872","151530","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1874","151590","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1879","151550","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1891","151610","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1896","151620","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1911","151710","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1912","151790","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1928","151800","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1943","152000","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1944","152110","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1945","152190","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"1947","152200","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"1949","160100","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1950","160210","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1951","160220","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1952","160231","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1953","160232","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1954","160239","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1955","160241","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1960","160242","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1965","160249","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1970","160250","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1975","160290","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1981","160300","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"1984","160411","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1989","160412","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1994","160413","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"1999","160414","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2004","160415","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2009","160416","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2014","160417","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2019","160418","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2024","160419","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2029","160420","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2034","160431","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2035","160432","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2036","30614","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2041","30633","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2046","30693","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2051","160510","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2056","30616","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2061","30617","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2066","30635","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2071","30695","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2076","30636","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2086","160521","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2091","160529","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2096","30612","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2101","30632","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2106","30692","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2111","160530","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2116","30611","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2121","30615","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2126","30619","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2131","30631","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2136","30691","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2161","160540","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2166","30712","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2172","30719","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2178","30722","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2184","30729","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2190","30732","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2196","30739","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2202","30743","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2208","30749","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2214","30752","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2220","30759","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2226","160562","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2232","160563","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2238","160569","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2244","160555","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2250","160556","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2256","160557","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2262","160558","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2268","160554","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2274","160559","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2280","160561","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2286","30830","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2292","30890","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2298","160551","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2304","160552","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2310","160553","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2328","30772","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2334","30779","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2340","30783","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2346","30787","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2364","30784","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2370","30788","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2376","30792","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2382","30799","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2388","30812","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2394","30819","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2400","30822","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2406","30829","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2412","170113","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2413","170114","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2414","170112","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2415","170191","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2417","170199","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2418","170211","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2419","170219","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2420","170220","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2421","170230","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2422","170240","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2423","170250","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2424","170260","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2425","170290","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2427","170310","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2428","170390","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2429","170410","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2431","170490","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2433","180100","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2434","180200","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2435","180310","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2436","180320","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2437","180400","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2438","180500","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2439","180610","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2440","180620","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2441","180631","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2442","180632","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2443","180690","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2449","190110","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2453","190120","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2457","190190","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2461","190211","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2462","190219","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2463","190220","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2468","190230","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2473","190240","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2478","190300","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2479","190410","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2481","190420","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2485","190430","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2487","190490","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2489","190510","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2492","190520","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2496","190531","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2500","190532","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2504","190540","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2507","190590","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2510","200110","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2514","200190","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2522","200210","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2524","200290","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2526","200310","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2528","200390","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2532","200410","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2541","200490","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2550","200510","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2554","200520","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2562","200540","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2571","200551","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2580","200559","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2589","200560","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2598","200570","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2607","200580","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2608","200591","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2617","200599","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2644","200600","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2653","200710","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2654","200791","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2655","200799","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2656","200811","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2660","200819","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2664","200820","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2666","200830","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2668","200840","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2671","200850","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2673","200860","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2675","200870","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2677","200880","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2680","200891","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2683","200897","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2686","200893","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2689","121120","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2692","121190","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2695","200899","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2698","200911","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2699","200912","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2700","200919","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2701","200921","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2702","200929","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2703","200931","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2704","200939","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2705","200941","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2706","200949","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2707","200950","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2708","200961","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2709","200969","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2710","200971","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2711","200979","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2712","200981","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2713","200989","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2714","200990","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2715","210111","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2718","210112","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2721","210120","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2723","210130","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2725","210210","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2730","210220","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2735","210230","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2740","210310","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2741","210320","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2743","210330","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2744","210390","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2747","210410","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2750","210420","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2758","210500","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2760","210610","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2762","210690","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2766","220110","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2767","220190","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2768","220210","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2769","220291","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2770","220299","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2771","220300","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2772","220410","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2773","220421","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2775","220422","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2777","220429","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2779","220430","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2780","220510","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2781","220590","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2782","220600","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2783","220710","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2784","220720","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2785","220820","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2786","220830","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2787","220840","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2788","220850","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2789","220860","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2790","220870","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2791","220890","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2792","220900","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"2793","230110","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2794","230120","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2795","230210","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2796","230240","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2798","230230","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2801","230250","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2802","230310","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2803","230320","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2804","230330","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2805","230400","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2806","230500","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2807","230610","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2808","230620","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2809","230630","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2810","230641","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2811","230649","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2812","230650","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2813","230660","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2814","230690","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2816","230700","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"2817","230800","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2819","230910","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2820","230990","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2822","240110","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2824","240120","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2826","240130","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2827","240210","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2828","240220","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2829","240290","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2831","240311","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2832","240319","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2833","240391","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"2834","240399","22","Industrial Supplies Not Elsewhere Specified: Processed","Intermediate Goods"
"2835","250100","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2836","250200","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2837","250300","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2841","250410","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
"2842","250490","21","Industrial Supplies Not Elsewhere Specified: Primary","Intermediate Goods"
