HS.Code_4,Description
4803,"Towel or Napkin Stock, similar Paper for Household, Sanitary uses, Cellulose Wadding, Webs of Cellulose Fibres, in Rolls over 36cm in Width or Rectangular Sheets, one Side exceeding 36cm when Unfolded"
4804,"Kraft Paper and Paperboard, Uncoated, in Rolls or Sheets, other than that of Heading No. 4802 or 4803"
4805,"Paper and Paperboard n.e.s., Uncoated, in Rolls or Sheets"
4806,"Vegetable Parchment, Greaseproof Papers, Tracing Papers, Glassine and other Glazed Transparent or Translucent Papers, in Rolls or Sheets"
4807,"Composite Paper and Paperboard, (made by Sticking Layers Together with an Adhesive), not Surface-coated or Impregnated, whether or not Internally Reinforced, in Rolls or Sheets"
4808,"Paper and Paperboard, Corrugated (with or without Glued Flat Surface Sheets), Creped, Crinkled, Embossed or Perforated, in Rolls or Sheets other than those of Heading No. 4803 or 4818"
4809,"Carbon Paper, Self Copy Paper and the like (coated, Impregnated for Duplicator Stencils, Offset Plates), Printed or not; Rolls over 36cm Wide, Rectangular Sheets with one Unfolded Side exceeding 36cm"
4810,"Paper and Paperboard, one or Both Sides Coated with Kaolin or other Inorganic Sub- Stances, with Binder or not, No other Coat- Ing; Surface-coloured, Surface-decorated, Printed or not, in Rolls or Sheets"
4811,"Paper, Paperboard, Cellulose Wadding and Webs of Cellulose Fibres, Coated, Impreg- Nated, Covered, Surface-coloured, Decorated or Printed, Rolls or Sheets, Excl. Goods of Heading No. 4803, 4809, 4810 and 4818"
4812,"Filter Blocks, Slabs and Plates of Paper Pulp"
4813,"Cigarette Paper, whether or not cut to Size or in the form of Booklets or Tubes"
4814,Wallpaper and similar Wall Coverings; Window Transparencies of Pap
4815,"Floor Coverings on a Base of Paper or of Paperboard, whether or not cut to Size"
4816,"Carbon Paper, Self-copy Paper and other Copying or Transfer Papers, (other than those of Heading No. 4809), Duplicator Stencils and Offset Plates, of Paper whether or not put up in Boxes"
4817,"Envelopes, Letter Cards, Plain Postcards and Correspondence Cards, of Paper, Paperboard; Boxes, Pouches, Wallets and Writing Compendiums, of Paper or Paperboard containing Assortment of Paper Stationery"
4818,"Paper Towels, Toilet Paper, Tissues, Handkerchiefs, Napkins, Tampons, Serviettes and similar Household, Sanitary and Hospital articles of Paper"
4819,"Cartons, Boxes, Cases, Bags and the like, of Paper, Paperboard, Cellulose Wadding or Fibres; Box Files, Letter Trays and the like, of Paper or Paperboard, of a kind used in Offices, Shops or the like"
4820,"Registers, Account Books, Diaries and similar; Albums for Samples or Collections, of Paper or Paperboard"
4821,"Paper or Paperboard Labels of All kinds, whether or not Printed"
4822,"Bobbins, Spools, Cops and similar Supports of Paper Pulp, Paper or Paperboard (whether or not Perforated or Hardened)"
4823,"Paper, Paperboard, Cellulose Wadding and Webs of Cellulose Fibres; cut to Size or shape, articles of Paper Pulp, Paper, Paperboard, Cellulose Wadding or Webs of Cellulose Fibres, n.e.s. in Chapter 48"
4901,"Printed Books, Brochures, Leaflets and similar Printed Matter, whether or not in Single Sheets"
4902,"Newspapers, Journals and Periodicals, whether or not Illustrated or containing Advertising Material"
4903,"Children's Picture, Drawing or Colouring Books"
4904,"Music, Printed or in Manuscript, whether or not Bound or Illustrated"
4905,"Maps and Hydrographic or similar Charts of All kinds, including Atlases, Wall Maps, Topographical Plans and Globes, Printed"
4906,"Plans and Drawings; for Architectural, Engineering, Industrial, Commercial, Topographical or similar, being Originals Drawn by Hand; Hand-written Texts; Photo- Graphic Reproductions; their Carbon Copies"
4907,"Unused Postage, Revenue or similar Stamps of Current or New Issue in the Country to which Destined; Stamp-impressed Paper; Cheque forms; Banknotes, Stock, Share or Bond Certificates and the like"
4908,Transfers (decalcomanias)
4909,"Printed or Illustrated Postcards; Printed Cards Bearing Personal Greetings, Messages or Announcements, whether or not Illustrated, with or without Envelopes or Trimmings"
4910,"Calendars of any kind, Printed, including Calendar Blocks"
4911,"Printed Matter, n.e.s., including Printed Pictures and Photographs"
5001,Silk-worm Cocoons Suitable for Reeling
5002,Silk; Raw (not Thrown)
5003,"Silk waste (including Cocoons Unsuitable for Reeling, Yarn waste and Garnetted Stock)"
5004,"Silk; Yarn (other than Yarn Spun from Silk Waste), not put up for Retail Sale"
5005,"Yarn Spun from Silk waste, not put up for Retail Sale"
5006,"Silk Yarn and Yarn Spun from Silk waste, put up for Retail Sale; Silk-worm Gut"
5007,Woven Fabrics of Silk or of Silk waste
5101,"Wool, not Carded or Combed"
5102,"Fine or Coarse Animal Hair, not Carded or Combed"
5103,"Waste of Wool or of Fine or Coarse Animal Hair, including Yarn waste but excluding Garnetted Stock"
5104,"Wool, or Fine or Coarse Animal Hair; Garnetted Stock"
5105,Wool and Fine or Coarse Animal Hair; Carded or Combed (including Combed Wool in Fragments)
5106,"Yarn of Carded Wool, not put up for Retail Sale"
5107,"Yarn of Combed Wool, not put up for Retail Sale"
5108,"Yarn of Fine Animal Hair (carded or Combed), not put up for Retail Sale"
5109,"Yarn of Wool or of Fine Animal Hair, put up for Retail Sale"
5110,"Yarn of Coarse Animal Hair or of Horsehair (including Gimped Horsehair Yarn), whether or not put up for Retail Sale"
5111,Woven Fabrics of Carded Wool or of Carded Fine Animal Hair
5112,Woven Fabrics of Combed Wool or of Combed Fine Animal Hair
5113,Woven Fabrics of Coarse Animal Hair or of Horsehair
5201,Cotton; not Carded or Combed
5202,Cotton waste (including Yarn waste and Garnetted Stock)
5203,"Cotton, Carded or Combed"
5204,"Cotton Sewing Thread, whether or not put up for Retail Sale"
5205,"Cotton Yarn (other than Sewing Thread), containing 85% or more by Weight of Cotton, not put up for Retail Sale"
5206,"Cotton Yarn (other than Sewing Thread), containing Less than 85% by Weight of Cotton, not put up for Retail Sale"
5207,"Cotton Yarn (other than Sewing Thread), put up for Retail Sale"
5208,"Woven Fabrics of Cotton, containing 85% or more by Weight of Cotton, weighing not more than 200 G/m2"
5209,"Woven Fabrics of Cotton; containing 85% or more by Weight of Cotton, weighing more than 200 G/m2"
5210,"Woven Fabrics of Cotton, containing Less than 85% by Weight of Cotton, Mixed mainly or solely with Man-made Fibres, weighing not more than 200 G/m2"
5211,"Woven Fabrics of Cotton, containing Less than 85% by Weight of Cotton, Mixed mainly or solely with Man-made Fibres, weighing more than 200g/m2"
5212,Cotton; other Woven Fabrics
5301,"Flax, Raw or processed but not Spun; Flax Tow and waste (including Yarn waste and Garnetted Stock)"
5302,"True Hemp (cannabis Sativa L.), Raw or processed but not Spun; Tow and waste of True Hemp (including Yarn waste and Garnetted Stock)"
5303,"Jute and other Textile Bast Fibres (not Flax, True Hemp and Ramie), Raw or processed but not Spun; Tow and waste of these Fibres, including Yarn waste and Garnetted Stock"
5304,"Sisal and other Textile Fibres of Genus Agave, Raw or processed but not Spun; Tow and waste of these Fibres (including Yarn waste and Garnetted Stock)"
5305,"Coconut, Abaca (manilla Hemp or Musa Textilis Nee), Ramie and other Vegetable Textile Fibres n.e.s., Raw or processed but not Spun; Tow and waste of these Fibres (including Yarn waste and Garnetted Stock)"
5306,Flax Yarn
5307,Yarn of Jute or of other Textile Bast Fibres of Heading No. 5305
5308,Yarn of other Vegetable Textile Fibres; Paper Yarn
5309,Woven Fabrics of Flax
5310,"Woven Fabrics of Jute, other Textile Bast Fibres of Heading No. 5303"
5311,Woven Fabrics of other Vegetable Textile Fibres; Woven Fabrics of Paper Yarn
5401,"Sewing Thread of Man-made Filaments, whether or not put up for Retail Sale"
5402,"Synthetic Filament Yarn (other than Sewing Thread), not put up for Retail Sale, including Synthetic Monofilament of Less than 67 Decitex"
5403,"Artificial Filament Yarn (other than Sewing Thread), not put up for Retail Sale, including Artificial Monofilament of Less than 67 Decitex"
5404,"Synthetic Monofilament of 67 Decitex or more, of which No Crosssectional Dimension exceeds 1mm; Strip and the like (e.g. Artificial Straw), of Synthetic Textile Materials of a Width not exceeding 5mm"
5405,"Artificial Monofilament of 67 Decitex or more, No Cross-sectional Dimension exceeds 1mm; Strip and the like (e.g. Artificial Straw), of Artificial Textile Materials of a Width not exceeding 5mm"
5406,"Man-made Filament Yarn (other than Sewing Thread), put up for Retail Sale"
5407,"Woven Fabrics of Synthetic Filament Yarn, including Woven Fabrics Obtained from Materials of Heading No. 5404"
5408,Woven Fabrics of Artificial Filament Yarn including Woven Fabrics Obtained from Materials of Heading No. 5405
5501,Synthetic Filament Tow
5502,Artificial Filament Tow
5503,"Synthetic Staple Fibres, not Carded, Combed or otherwise processed for Spinning"
5504,"Artificial Staple Fibres, not Carded, Combed or otherwise processed for Spinning"
5505,"Waste (including Noils, Yarn waste and Garnetted Stock), of Man-made Fibres"
5506,"Synthetic Staple Fibres, Carded, Combed or otherwise processed for Spinning"
5507,"Artificial Staple Fibres, Carded, Combed or otherwise processed for Spinning"
5508,"Sewing Thread of Man-made Staple Fibres, whether or not put up for Retail Sale"
5509,"Yarn (other than Sewing Thread) of Synthetic Staple Fibres, not put up for Retail Sale"
5510,"Yarn (other than Sewing Thread) of Artificial Staple Fibres, not put up for Retail Sale"
5511,"Yarn (other than Sewing Thread) of Man-made Staple Fibres, put up for Retail Sale"
5512,"Woven Fabrics of Synthetic Staple Fibres, containing 85% or more by Weight of Synthetic Staple Fibres"
5513,"Woven Fabrics of Synthetic Staple Fibres containing Less than 85% of such Fibres, Mixed mainly or solely with Cotton, of a Weight not exceeding 170g/m2"
5514,"Woven Fabrics of Synthetic Staple Fibres containing Less than 85% by Weight of such Fibres, Mixed mainly or solely with Cotton, of a Weight exceeding 170g/m2"
5515,Woven Fabrics; of Synthetic Staple Fibres n.e.s. in Chapter 55
5516,Woven Fabrics of Artificial Staple Fibres
5601,"Wadding of Textile Materials and articles thereof; Textile Fibres, not exceeding 5 mm in Length (flock), Textile Dust and Mill Neps"
5602,"Felt; whether or not Impregnated, Coated, Covered or Laminated"
5603,"Nonwovens; whether or not Impregnated, Coated, Covered or Laminated"
5604,"Rubber Thread and Cord, Textile Covered; Textile Yarn and Strip and the like of Heading No. 5404, 5405; Impregnated, Coated, Covered or Sheathed with Rubber or Plastics"
5605,"Yarn; Metallised, whether or not Gimped, of Textile Yarn, or Strip or the like of Heading No. 5404 or 5405, Combined with Metal in the form of Thread, Strip or powder or Covered with Metal"
5606,"Yarn and Strip and the like of Heading No. 5404 or 5405, Gimped (other than those of Heading No. 5605 and Gimped Horsehair Yarn); Chenille Yarn (including Flock Chenille Yarn); Loop Wale-yarn"
5607,"Twine, Cordage, Ropes and Cables, whether or not Plaited or Braided; whether or not Impregnated, Coated, Covered or Sheathed with Rubber or Plastics"
5608,"Twine, Cordage or Rope; Knotted Netting, made up Fishing Nets and other made up Nets, of Textile Materials"
5609,"Articles of Yarn, Strip or the like of Heading No. 5404 or 5405; Twine, Cordage, Rope or Cables n.e.s. or included"
5701,"Carpets and other Textile Floor Coverings; Knotted, whether or not made up"
5702,"Carpets and other Textile Floor Coverings; Woven, not Tufted or Flocked, whether or not made up, including ""kelem"", ""schumacks"", ""karamanie"" and similar Hand- Woven Rugs"
5703,"Carpets and other Textile Floor Coverings; Tufted, whether or not made up"
5704,"Carpets and other Textile Floor Coverings; of Felt, not Tufted or Flocked, whether or not made up"
5705,"Carpets and other Textile Floor Coverings; n.e.s. in Chapter 57, whether or not made up"
5801,"Fabrics; Woven Pile and Chenille Fabrics, other than Fabrics of Heading No. 5802 or 5806"
5802,"Fabrics; Terry Towelling and similar Woven Terry Fabrics other than Narrow Fabrics of Heading No. 5806; Tufted Textile Fabrics, excluding Products of Heading No. 5703"
5803,Gauze; other than Narrow Fabrics of Heading No. 5806
5804,"Tulles and other Net Fabrics; not including Woven, Knitted or Crocheted Fabrics; Lace in the Piece, in Strips or in Motifs"
5805,"Tapestries; Hand-woven, (gobelins, Flanders, Aubusson, Beauvais and the Like) and Needle-worked Tapestries (e.g. Petit Point, Crossstitch) whether or not made up"
5806,"Fabrics; Narrow Woven, other than Goods of Heading No. 5807; Narrow Fabrics Consisting of Warp without Weft Assembled by Means of an Adhesive (bolducs)"
5807,"Labels, Badges and similar articles; of Textile Materials, in the Piece, in Strips or cut to shape or Size, not Embroidered"
5808,"Braids in the Piece; Ornamental Trimmings in the Piece, without Embroidery, other than Knitted or Crocheted; Tassels, Pompons and similar articles"
5809,"Fabrics, Woven; of Metal Thread and Metallised Yarn of Heading No. 5605, of a kind used in Apparel, as Furnishing Fabrics or similar purposes; n.e.s. or included"
5810,"Embroidery; in the Piece, in Strips or in Motifs"
5811,"Quilted Textile Products; in the Piece, Composed of one or more Layers of Textile Materials Assembled with Padding by Stitching or otherwise (excluding Embroidery of Heading No. 5810)"
5901,"Textile Fabrics, Gum or Amylaceous Sub- Stance Coated, used for Outer Book Covers and like; Tracing Cloth, prepared Painting Canvas; Buckram and similar Stiffened Textile Fabrics used for Hat Foundation"
5902,Textile Fabrics; Tyrecord of High Tenacity Yarn of Nylon or other Polyamides Polyesters or Viscose Rayon
5903,"Textile Fabrics Impregnated, Coated, Covered or Laminated with Plastics, other than those of Heading No. 5902"
5904,"Linoleum, whether or not cut to shape; Floor Coverings Consisting of a Coating or Covering Applied on a Textile Backing, whether or not cut to shape"
5905,Textile Wall Coverings
5906,"Textile Fabrics, Rubberised; other than those of Heading No. 5902"
5907,"Textile Fabrics; otherwise Impregnated, Coated or Covered; Painted Canvas being Theatrical Scenery, Studio Back-cloths or the like"
5908,"Textile Wicks, Woven, Plaited or Knitted; for Lamps, Stoves, Lighters, Candles or the like; Incandescent Gas Mantles and Tubular Knitted Gas Mantle Fabric Therefor, whether or not Impregnated"
5909,"Textile Hosepiping and similar Textile Tubing; with or without Lining, Armour or Accessories of other Materials"
5910,"Textiles; Transmission or Conveyor Belts or Belting, of Textile Material, whether or not Reinforced with Metal or other Material"
5911,Textile Products and articles for Technical uses; specified in Note 7 to this Chapter
6001,"Fabrics; Pile Fabrics, including ""long Pile"" Fabrics and Terry Fabrics, Knitted or Crocheted"
6002,"Fabrics; Knitted or Crocheted, other than those of Heading No. 6001"
6006,"Knitted or crocheted fabrics, n.e.s"
6101,"Coats; Men's or Boys' Overcoats, Car-coats, Capes, Cloaks, Anoraks, Ski-jackets, Wind- Cheaters, Wind-jackets and similar articles; Knitted or Crocheted, other than those of Heading No. 6103"
6102,"Coats; Women's or Girls' Overcoats, Car- Coats, Capes, Cloaks, Anoraks, Ski-jackets, Wind-cheaters, Wind-jackets and similar articles, Knitted or Crocheted, other than those of Heading No. 6104"
6103,"Suits, Ensembles, Jackets, Blazers, Trousers, Bib and Brace Overalls, Breeches, Shorts (not Swimwear); Men's or Boys', Knitted or Crocheted"
6104,"Suits, Ensembles, Jackets, Dresses, Skirts, Divided Skirts, Trousers, Bib and Brace Overalls, Breeches and Shorts (other than Swimwear), Women's or Girls', Knitted or Crocheted"
6105,"Shirts; Men's or Boys', Knitted or Crocheted"
6106,"Blouses, Shirts and Shirt-blouses; Women's or Girls', Knitted or Crocheted"
6107,"Underpants, Briefs, Nightshirts, Pyjamas, Bathrobes, Dressing Gowns and similar articles; Men's or Boys', Knitted or Crocheted"
6108,"Slips, Petticoats, Briefs, Panties, Nightdresses, Pyjamas, Negliges, Bathrobes, Dressing Gowns and similar articles; Women's or Girls', Knitted or Crocheted"
6109,"T-shirts, Singlets and other Vests; Knitted or Crocheted"
6110,"Jerseys, Pullovers, Cardigans, Waistcoats and similar articles; Knitted or Crocheted"
6111,"Garments and Clothing Accessories, Babies'; Knitted or Crocheted"
6112,"Track Suits, Ski Suits and Swimwear; Knitted or Crocheted"
6113,"Garments made up of Knitted or Crocheted Fabrics of Heading No. 5903, 5906 and 5907"
6114,"Garments; Knitted or Crocheted, n.e.s. in Chapter 61"
6115,"Hosiery; Panty Hose, Tights, Stockings, Socks and other Hosiery, including Stockings for Varicose Veins and Footwear without Applied Soles, Knitted or Crocheted"
6116,"Gloves, Mittens and Mitts; Knitted or Crocheted"
6117,"Clothing Accessories; made up, Knitted or Crocheted, Knitted or Crocheted Parts of Garments or of Clothing Accessories"
6201,"Overcoats, Car-coats, Capes, Cloaks, Anoraks (including Ski-jackets), Wind- Cheaters, Wind-jackets and similar articles, Men's or Boys', not those of Heading No. 6203 (not Knitted or Crocheted)"
6202,"Coats; Women's or Girls' Overcoats, Carcoats, Capes, Cloaks, Anoraks, Ski- Jackets, Wind-cheaters, Wind-jackets and similar articles, other than those of Heading No. 6204 (not Knitted or Crocheted)"
6203,"Suits, Ensembles, Jackets, Blazers, Trousers, Bib and Brace Overalls, Breeches and Shorts (other than Swimwear); Men's or Boys' (not Knitted or Crocheted)"
6204,"Suits, Ensembles, Jackets, Dresses, Skirts, Divided Skirts, Trousers, Bib and Brace Overalls, Breeches and Shorts (other than Swimwear); Women's or Girls' (not Knitted or Crocheted)"
6205,Shirts; Men's or Boys' (not Knitted or Crocheted)
6206,"Blouses, Shirts and Shirt-blouses; Women's or Girls' (not Knitted or Crocheted)"
6207,"Singlets and other Vests, Underpants, Briefs, Night-shirts, Pyjamas, Bathrobes, Dressing Gowns and similar articles; Men's or Boys' (not Knitted or Crocheted)"
6208,"Singlets and other Vests, Slips, Petticoats, Briefs, Panties, Nightdresses, Pyjamas, Negliges, Bathrobes, Dressing Gowns and similar articles; Women's or Girls' (not Knitted or Crocheted)"
6209,Garments and Clothing Accessories; Babies' (not Knitted or Crocheted)
6210,"Garments made up of Fabrics of Heading No. 5602, 5603, 5903, 5906 or 5907 (not Knitted or Crocheted)"
6211,"Track Suits, Swimwear and other Garments (not Knitted or Crocheted)"
6212,"Brassieres, Girdles, Corsets, Braces, Suspenders, Garters and similar articles and Parts thereof; whether or not Knitted or Crocheted"
6213,Handkerchiefs (not Knitted or Crocheted)
6214,"Shawls, Scarves, Mufflers, Mantillas, Veils and the like (not Knitted or Crocheted)"
6215,"Ties, Bow Ties and Cravats (not Knitted or Crocheted)"
6216,"Gloves, Mittens and Mitts (not Knitted or Crocheted)"
6217,Clothing Accessories n.e.s.; Parts of Garments or Accessories other than those of Heading No. 6212 (not Knitted or Crocheted)
6301,Blankets and Travelling Rugs
6302,"Bed Linen, Table Linen, Toilet Linen and Kitchen Linen"
6303,Curtains (including Drapes) and Interior Blinds; Curtain or Bed Valances
6304,Furnishing articles; excluding those of Heading No. 9404
6305,"Sacks and Bags, of a kind used for the Packing of Goods"
6306,"Tarpaulins, Awnings and Sunblinds, Tents, Sails for Boats, Sailboards or Landcraft; Camping Goods"
6307,"Textiles; other made up articles, including Dress Patterns"
6308,"Textiles; Sets of Woven Fabric and Yarn, with or without Accessories, for making into Rugs, Tapestries, Embroidered Tablecloths, Serviettes and similar Textile articles, in Packings for Retail Sale"
6309,"Clothing, Worn; and other Worn articles"
6310,"Rags; used or New, Scrap Twine, Cordage, Rope and Cables and Worn Out articles of Twine, Cordage, Rope or Cables, of Textile Materials"
6401,"Footwear; Waterproof, with Outer Soles and Uppers of Rubber or Plastics; Uppers not Fixed to the Sole nor Assembled by Stitch, Rivet, Nail, Screw, Plug or similar"
6402,Footwear; with Outer Soles and Uppers of Rubber or Plastics (excluding Waterproof Footwear)
6403,"Footwear; with Outer Soles of Rubber, Plastics, Leather, Composition Leather and Uppers of Leather"
6404,"Footwear; with Outer Soles of Rubber, Plastic, Leather or Composition Leather and Uppers of Textile Materials"
6405,Footwear; other Footwear n.e.s. in Chapter 64
6406,"Footwear; Parts of Footwear; Removable In- Soles, Heel Cushions and similar articles; Gaiters, Leggings and similar articles, and Parts thereof"
6501,"Hat-forms, Hat Bodies and Hoods of Felt, neither Blocked to shape nor with made Brims; Plateaux and Manchons (including Slit Manchons) of Felt"
6502,"Hat-shapes; Plaited or made by Assembling Strips of any Material, neither Blocked to shape, nor with made Brims, nor Lined, nor Trimmed"
6503,"Hats and other Felt Headgear; made from the Hat Bodies, Hoods or Plateaux of Heading No. 6501, whether or not Lined or Trimmed"
6504,"Hats and other Headgear; Plaited or made by Assembling Strips of any Material, whether or not Lined or Trimmed"
6505,"Hats and Headgear; Knitted or Crocheted, or made up from Lace, Felt or other Textile Fabric in the Piece (not in Strips), whether or not Lined or Trimmed; Hair-nets of any Material, Lined, Trimmed or not"
6506,"Headgear; n.e.s. in Chapter 65, whether or not Lined or Trimmed"
6507,"Head-bands, Linings, Covers, Hat Foundations, Hat Frames, Peaks and Chinstraps, for Headgear"
6601,"Umbrellas; Sun Umbrellas (including Walking Stick Umbrellas, Garden Umbrellas and similar Umbrellas)"
6602,"Walking-sticks, Seat-sticks, Whips, Riding- Crops and the like"
6603,"Trimmings, Parts and Accessories of articles of Heading No. 6601 or 6602"
6701,"Skin and other Parts of Birds with their Feather or Down; Feathers, Parts of Feather, Down and articles thereof (other than Goods of Heading No. 0505 and Worked Quills and Scapes)"
6702,"Flowers, Foliage and Fruit, Artificial, and Parts thereof; articles made of Artificial Flowers, Foliage or Fruit"
6703,"Human Hair, Dressed, Thinned, Bleached or otherwise Worked; Wool or other Animal Hair or other Textile Materials, prepared for use in making Wigs or the like"
6704,"Wigs, False Beards, Eyebrows and Eyelashes, Switches and the like, of Human or Animal Hair or of Textile Materials; articles of Human Hair, n.e.s. or included"
6801,"Stone; Setts, Curbstones and Flagstones, of Natural Stone (except Slate)"
6802,"Monumental or Building Stone, Worked (except Slate) and articles thereof (not of Heading No. 6801) Mosaic Cubes Etc., of Natural Stone including Slate; Artificially Coloured Granules of Natural Stone"
6803,"Slate, Worked; and articles of Slate or of Agglomerated Slate"
6804,"Millstones, Grindstones, Grinding Wheels, Etc. without Frameworks, for Grinding, Sharpening, Polishing, Etc. and Parts thereof, Natural Stone, Agglomerated Nat- Ural or Artificial Abrasives or of Ceramics"
6805,"Abrasive powder or Grain; Natural or Artificial, on a Base of Textile Material, of Paper, Paperboard or of other Material, whether or not cut to shape or Sewn or otherwise made up"
6806,"Slag, Rock Wool and similar Mineral Wools; Exfoliated Vermiculite, Expanded Clays, Foamed Slag, Mixtures and articles of Heat, Sound Insulating or Sound-absorbing Mineral Materials"
6807,Asphalt or similar Material; articles (e.g. Petroleum Bitumen or Coal Tar Pitch)
6808,"Panels, Boards, Tiles, Blocks and the like; of Vegetable Fibre, of Straw, Shavings, Chips, Particles, Sawdust or other waste, of Wood, Agglomerated with Cement, Plaster or other Mineral Binders"
6809,Plaster or Compositions Based on Plaster; articles thereof
6810,"Cement, Concrete or Artificial Stone; whether or not Reinforced, articles thereof"
6811,"Asbestos-cement, Cellulose Fibre-cement or the like; articles thereof"
6812,"Asbestos Fibres, Fabricated; Mixtures with a basis of Asbestos or of Asbestos and Magnesium Carbonate; articles of such Mixtures or of Asbestos (e.g. Thread, Woven Fabric, Clothing, Footwear)"
6813,"Friction Material and articles thereof (e.g. Sheets, Rolls, Strips, Segments, Discs, Washers, Pads) not Mounted; for Brakes, Clutches, with a basis of Asbestos, other Mineral Substances, or Cellulose"
6814,"Mica; Worked, articles of, including Agglomerated or Reconstituted Mica; whether or not on a Support of Paper, Paperboard or other Materials"
6815,"Stone or other Mineral Substances; articles thereof (including articles of Peat), n.e.s. or included"
6901,"Bricks, Blocks, Tiles and other Ceramic Goods of Siliceous Fossil Meals (e.g. Kieselguhr, Tripolite or Diatomite) or of similar Siliceous Earths"
6902,"Refractory Bricks, Blocks, Tiles and similar Refractory Ceramic Constructional Goods; other than those of Siliceous Fossil Meals or similar Siliceous Earths"
6903,"Ceramic Goods; (e.g. Retorts, Crucibles, Muffles, Nozzles, Plugs, Supports, Cupels, Tubes, Pipes, Sheaths, Rods) excluding those of Siliceous Fossil Meals or of similar Siliceous Earths"
6904,"Ceramic Building Bricks, Floor Blocks, Support or Filler Tiles and the like"
6905,"Roofing Tiles, Chimney-pots, Cowls, Chimney Liners, Architectural Ornaments and other Ceramic Constructional Goods"
6906,"Ceramic Pipes, Conduits, Guttering and Pipe Fittings"
6907,"Ceramic Flags and Paving, Hearth or Wall Tiles, Unglazed; Unglazed Ceramic Mosaic Cubes and the like, whether or not on a Backing"
6908,"Ceramic Flags and Paving, Hearth or Wall Tiles, Glazed; Glazed Ceramic Mosaic Cubes and the like, whether or not on a Backing"
6909,"Ceramic Ware for Laboratory, Chemical, other Technical uses; Ceramic Troughs, Tubs, similar Receptacles used in Agriculture; Ceramic Pots, Jars and similar used in the Conveyance or Packing of Goods"
6910,"Ceramic Sinks, Wash Basins, Wash Basin Pedestals, Baths, Bidets, Water Closet Pans, Flushing Cisterns, Urinals and similar Sanitary Fixtures"
6911,"Tableware, Kitchenware, other Household articles and Toilet articles; of Porcelain or China"
6912,"Ceramic Tableware, Kitchenware, other Household articles and Toilet articles; other than of Porcelain or China"
6913,Statuettes and other Ornamental Ceramic articles
6914,Ceramic articles; n.e.s. in Chapter 69
7001,Glass; Cullet and other waste and Scrap of Glass; Glass in the Mass
7002,"Glass in Balls (other than Microspheres of Heading No. 7018), Rods or Tubes, Unworked"
7003,"Cast Glass and Rolled Glass in Sheets or Profiles; whether or not having an Absorbent or Reflecting Layer, but not otherwise Worked"
7004,"Glass; Drawn and Blown, in Sheets, whether or not having an Absorbent or Reflecting Layer, but not otherwise Worked"
7005,"Glass; Float Glass and Surface Ground or Polished Glass, in Sheets, whether or not having an Absorbent or Reflecting Layer, but not otherwise Worked"
7006,"Glass of Heading No. 7003, 7004 or 7005, Bent, Edge-worked, Engraved, Drilled, Enamelled or otherwise Worked, not Framed or Fitted with other Materials"
7007,"Safety Glass, Consisting of Toughened (tempered) or Laminated Glass"
7008,Glass; Multiple-walled Insulating Units of Glass
7009,"Glass Mirrors; whether or not Framed, including Rear-view Mirrors"
7010,"Carboys, Bottles, Flasks, Jars, Pots, Phials, Ampoules, Containers of Glass of a kind used for the Conveyance or Packing of Goods; Preserving Jars of Glass; Stoppers, Lids and other Closures of Glass"
7011,"Glass Envelopes (including Bulbs and Tubes), Open and Glass Parts thereof, without Fittings, for Electric Lamps, Cathode-ray Tubes or the like"
7012,Glass; Inners for Vacuum Flasks or other Vacuum Vessels
7013,"Glassware of a kind used for Table, Kitchen, Toilet, Office, Indoor Decoration or similar purposes (other than of Heading No. 7010, 7018)"
7014,"Signalling Glassware and Optical Elements of Glass (other than those of Heading No. 7015), not Optically Worked"
7015,"Clock, Watch and similar Glasses, Glasses for Non-corrective or Corrective Spectacles, Curved, Bent, Hollowed, Etc., not Optically Worked, Hollow Glass Spheres and their Segments for Manufacture"
7016,"Glass; Paving Blocks, Slabs, Bricks, Tiles Etc. of Pressed, Moulded Glass, whether or not Wired, Glass Smallwares for Decorative purposes Leaded Lights and the like; Multicellular or Foam Glass"
7017,"Laboratory, Hygienic or Pharmaceutical Glassware, whether or not Graduated or Calibrated"
7018,"Glass Beads, Imitation Pearls, Precious or Semi-precious Stones and similar Glass Smallwares, Statuettes and other Ornaments of Worked Glass; Glass Microspheres not exceeding 1mm in Diameter"
7019,"Glass Fibres (including Glass Wool) and articles thereof (e.g. Yarn, Woven Fabrics)"
7020,Glass; articles n.e.s. in Chapter 70
7039,Unknown
7101,"Pearls; Natural or Cultured, whether or not Worked or Graded but not Strung, Mounted or Set; Ungraded Pearls, Natural or Cultured, Temporarily Strung for Convenience of Transport"
7102,"Diamonds, whether or not Worked, but not Mounted or Set"
7103,"Precious (excl. Diamond) and Semi-precious Stone; Worked, Graded, not Strung, Mounted, Set; Ungraded Precious (excluding Diamond) and Semi-precious Stone, Temporarily Strung for Convenience of Transport"
7104,"Synthetic, Reconstructed Precious, Semi- Precious Stone Worked, Graded or not, not Strung, Mounted, Set; Ungraded Synthetic, Reconstructed Precious, Semi-precious Stones, Temporarily Strung for Transport"
7105,Dust and powder of Natural or Synthetic Precious or Semi-precious Stone
7106,"Silver (including Silver Plated with Gold or Platinum); Unwrought or in Semi- Manufactured forms, or in powder form"
7107,Base Metals Clad with Silver; not Further Worked than Semi-manufactured
7108,"Gold (including Gold Plated with Platinum) Unwrought or in Semi-manufactured forms, or in powder form"
